Task,Fold,Val_Pearson,Pearson,RMSE,Kendall Tau
I1,1,0.10099967568877181,0.31241153600499705,1.5286483309416645,0.2482411725420549
I1,2,0.1495947698673604,0.17825455131542126,1.507564755943858,0.2684599105771544
I1,3,0.04902649430064307,0.19277841292667447,1.3786732729954683,0.24910522117603348
I1,4,-0.024697573718137182,0.2268160398540946,1.4275467684868415,0.2950726085036956
I1,5,0.2810949482905146,0.34004276980146925,1.5399893805535836,0.2757179191025747
I2,1,-0.5110090804349169,0.029111604179894203,1.9731351500456953,-0.007166264931905339
I2,2,0.15884867921238044,0.11759213910803255,1.8966149021419823,0.04891210519025347
I2,3,0.11164295010109784,0.0016257490804262912,1.9727904515856396,0.016304035063417825
I2,4,0.10997368798995391,-0.015532116753542673,1.837279467517295,-0.04377993292460948
I2,5,0.26816396551832894,-0.06830450150861492,1.7847929458141198,-0.03808447345907772
I3,1,0.09749092870199799,0.07149584654270956,2.0715932332466522,0.031894650773362634
I3,2,-0.0035222686564158412,0.08300205179645011,2.3659505671459162,0.04554716444043638
I3,3,0.3849894234011452,0.06199955186334268,1.9640367552649218,0.026981814415892914
I3,4,0.4534423587201892,0.08456212099299466,2.222408708943822,0.04853365180510876
I3,5,0.34815658133657146,0.08039039454505684,2.118265787792229,0.04289681851074877
I4,1,0.2563405691728579,0.11374075550732758,1.3870672678896052,0.08007173579584148
I4,2,-0.04715799571400865,0.11110469819430001,1.4697077852646199,0.07862112222607534
I4,3,0.12572951885390868,0.11015828013893444,1.3972135880246261,0.07212535999087254
I4,4,-0.147595825519987,0.1158626552157909,1.392501483811063,0.08135168894563514
I4,5,0.2954327378420766,0.11997298206761475,1.3415613170049814,0.0876928929984058
I5,1,0.28392200263502976,0.1715438157332193,1.169516212202484,0.0883742431740003
I5,2,0.3751350795858557,0.16560295711071585,1.167123045273463,0.08680116527821864
I5,3,0.2321955329748037,0.17091584541093321,1.2550784894639708,0.09210965775549192
I5,4,0.3179188571936878,0.15936844870562653,1.183806575791069,0.09054018048483958
I5,5,0.32747987246319804,0.1579986211182098,1.1824024435605014,0.08723944478444219
E1,1,-0.012492842790587565,-0.030954193153157568,0.8711794775784876,-0.0603780606263355
E1,2,0.44427954352648674,-0.030172760608737376,0.880738888929697,-0.06817462701351996
E1,3,0.16961334777865772,-0.026295995782845142,0.8734935212246745,-0.06781199601876721
E1,4,0.21211202913890811,-0.034654569049700205,0.8645222459458729,-0.06654278753713253
E1,5,0.18835229123508626,-0.020903929061044758,0.8626338438844187,-0.05892753664732444
E2,1,0.26138032034719894,0.3445953745934971,0.942099617216725,0.282086782727656
E2,2,0.6074818101121715,0.28050716324645747,0.9268759734710819,0.25214782673507635
E2,3,0.23980412935883513,0.34321758374837674,0.9073898024922891,0.2778444205424727
E2,4,0.17088681152085888,0.35877201028102595,0.9239301084814839,0.3135408680720869
E2,5,0.037738565335513855,0.3738503614243671,0.9068765948711296,0.3069349040980157
E3,1,0.1357679137775172,0.1325198204712055,1.381404705583319,0.1395380401620399
E3,2,0.1734451876591837,0.11760228595659125,1.3828057094809745,0.11956163213686338
E3,3,-0.12359451495866888,0.15853286660934535,1.3178960841105238,0.16703838901217927
E3,4,0.12817569691801176,0.13636376710778528,1.409914961338841,0.1419954006516608
E3,5,0.17061641437613728,0.15277741337370287,1.3294502548247584,0.1655202883358622
